number,inout,uuid,room,timestamp
6,enter,704a4dc2-9aea-412b-829a-75a420bef4c9,bedroom,2020-08-02 11:47:14
7,enter,3716bd1e-bc07-4ee4-9b36-0106615da52d,bedroom,2020-08-02 11:47:20
8,enter,e65d66d9-e484-4275-b217-75b3ba56cfd5,bedroom,2020-08-02 11:47:26
9,exit,704a4dc2-9aea-412b-829a-75a420bef4c9,bedroom,2020-08-02 11:47:31
10,exit,3716bd1e-bc07-4ee4-9b36-0106615da52d,bedroom,2020-08-02 11:47:33
11,exit,e65d66d9-e484-4275-b217-75b3ba56cfd5,bedroom,2020-08-02 11:47:35
12,enter,704a4dc2-9aea-412b-829a-75a420bef4c9,gate,2020-08-02 12:49:46
13,enter,3716bd1e-bc07-4ee4-9b36-0106615da52d,gate,2020-08-02 12:49:49
14,exit,704a4dc2-9aea-412b-829a-75a420bef4c9,gate,2020-08-02 12:50:24
15,exit,3716bd1e-bc07-4ee4-9b36-0106615da52d,gate,2020-08-02 12:50:25
16,enter,704a4dc2-9aea-412b-829a-75a420bef4c9,bedroom,2020-08-02 19:04:27
17,enter,704a4dc2-9aea-412b-829a-75a420bef4c9,gate,2020-08-02 19:04:29
18,enter,704a4dc2-9aea-412b-829a-75a420bef4c9,bedroom,2020-08-02 19:04:45
19,enter,704a4dc2-9aea-412b-829a-75a420bef4c9,gate,2020-08-02 19:04:47
20,enter,704a4dc2-9aea-412b-829a-75a420bef4c9,bedroom,2020-08-02 19:06:00
21,enter,704a4dc2-9aea-412b-829a-75a420bef4c9,gate,2020-08-02 19:06:02
22,enter,704a4dc2-9aea-412b-829a-75a420bef4c9,gate,2020-08-03 11:39:44
23,enter,3716bd1e-bc07-4ee4-9b36-0106615da52d,gate,2020-08-03 11:39:45
24,exit,704a4dc2-9aea-412b-829a-75a420bef4c9,gate,2020-08-03 11:39:47
25,exit,3716bd1e-bc07-4ee4-9b36-0106615da52d,gate,2020-08-03 11:39:48
26,enter,704a4dc2-9aea-412b-829a-75a420bef4c9,bedroom,2020-08-03 11:39:49
27,enter,3716bd1e-bc07-4ee4-9b36-0106615da52d,bedroom,2020-08-03 11:39:50
28,exit,704a4dc2-9aea-412b-829a-75a420bef4c9,bedroom,2020-08-03 11:39:50
29,exit,3716bd1e-bc07-4ee4-9b36-0106615da52d,bedroom,2020-08-03 11:39:51
30,enter,704a4dc2-9aea-412b-829a-75a420bef4c9,gate,2020-08-03 11:39:53
31,enter,3716bd1e-bc07-4ee4-9b36-0106615da52d,gate,2020-08-03 11:39:54
32,exit,704a4dc2-9aea-412b-829a-75a420bef4c9,gate,2020-08-03 11:39:55
33,exit,3716bd1e-bc07-4ee4-9b36-0106615da52d,gate,2020-08-03 11:39:55
34,enter,704a4dc2-9aea-412b-829a-75a420bef4c9,bedroom,2020-08-03 13:10:10
35,enter,3716bd1e-bc07-4ee4-9b36-0106615da52d,bedroom,2020-08-03 13:10:13
36,enter,704a4dc2-9aea-412b-829a-75a420bef4c9,gate,2020-08-03 13:10:16
37,enter,3716bd1e-bc07-4ee4-9b36-0106615da52d,gate,2020-08-03 13:10:17
38,exit,3716bd1e-bc07-4ee4-9b36-0106615da52d,gate,2020-08-03 13:10:25
39,enter,e65d66d9-e484-4275-b217-75b3ba56cfd5,bedroom,2020-08-03 13:10:35
40,enter,3716bd1e-bc07-4ee4-9b36-0106615da52d,bedroom,2020-08-03 13:10:35
41,enter,704a4dc2-9aea-412b-829a-75a420bef4c9,bedroom,2020-08-03 13:10:35
42,exit,704a4dc2-9aea-412b-829a-75a420bef4c9,bedroom,2020-08-03 13:10:40
43,exit,3716bd1e-bc07-4ee4-9b36-0106615da52d,bedroom,2020-08-03 13:10:40
44,enter,3716bd1e-bc07-4ee4-9b36-0106615da52d,bedroom,2020-08-03 13:10:42
45,enter,704a4dc2-9aea-412b-829a-75a420bef4c9,gate,2020-08-03 13:11:46
46,enter,3716bd1e-bc07-4ee4-9b36-0106615da52d,gate,2020-08-03 13:11:47
47,enter,e65d66d9-e484-4275-b217-75b3ba56cfd5,gate,2020-08-03 13:11:47
48,exit,704a4dc2-9aea-412b-829a-75a420bef4c9,gate,2020-08-03 13:11:48
49,exit,3716bd1e-bc07-4ee4-9b36-0106615da52d,gate,2020-08-03 13:11:49
50,exit,e65d66d9-e484-4275-b217-75b3ba56cfd5,gate,2020-08-03 13:11:49
51,exit,704a4dc2-9aea-412b-829a-75a420bef4c9,bedroom,2020-08-03 13:11:58
52,exit,3716bd1e-bc07-4ee4-9b36-0106615da52d,bedroom,2020-08-03 13:11:59
53,exit,e65d66d9-e484-4275-b217-75b3ba56cfd5,bedroom,2020-08-03 13:11:59
54,enter,704a4dc2-9aea-412b-829a-75a420bef4c9,bedroom,2020-08-03 13:38:18
55,exit,704a4dc2-9aea-412b-829a-75a420bef4c9,bedroom,2020-08-03 13:38:20
56,enter,704a4dc2-9aea-412b-829a-75a420bef4c9,bedroom,2020-08-03 14:46:18
57,enter,3716bd1e-bc07-4ee4-9b36-0106615da52d,gate,2020-08-03 14:46:22
58,exit,e65d66d9-e484-4275-b217-75b3ba56cfd5,gate,2020-08-03 14:46:46
59,exit,3716bd1e-bc07-4ee4-9b36-0106615da52d,gate,2020-08-03 14:46:52
60,enter,e65d66d9-e484-4275-b217-75b3ba56cfd5,bedroom,2020-08-03 14:46:53
